WhatId,OwnerId,Status,Priority,TaskSubtype,Type,CreatedDate,ActivityDate,LastModifiedDate,Subject,Description
Opportunity for Bradley14,John Williams,In Progress,High,Call,Setting up demo,2015-06-24,2015-07-10,2015-07-07,Setting up demo idsazhad [4848],Puhomo piz pewfija serav kopi rib pudwavda gimopfe cag mej bavwu uv ocebo ral obhocta.
Opportunity for Jimenez15,Harold Campbell,In Progress,Normal,Call,Put a proposal,2015-07-03,2015-07-29,2015-07-07,Put a proposal huwhen [6509],Cejkiw pim avnecat porabete rugroc ceref boruduk odke nog muk woc medgepe odavi sutibunod aj.
Opportunity for Phillips16,Irene McCoy,Not Started,High,Email,Email exec,2015-05-10,2015-05-15,2015-05-14,Email exec ruj [5784],Ef adihuhvu wable kehhavup gafidu jutuvi lousaduw lidah jic fedo sejjacki dikko op if amerezej.
Opportunity for Jefferson17,Dennis Howard,Not Started,Normal,Call,Call to stakeholder,2015-06-15,2015-06-22,2015-07-07,Call to stakeholder fufcoj [9497],Luvipew sudofi tobuta mi wolide ed zol roowla do em gokhukna moc soj ka pa uh voruca jarsonel.
Opportunity for Wells18,Laura Palmer,Not Started,High,Email,Email to stakeholder,2015-06-22,2015-07-17,2015-07-07,Email to stakeholder kazowidu [8892],He salo se cag kaz avu dabhow pimjub bejnu ked hi weho onomajo ja.
Opportunity for Gray127,Bruce Kennedy,Completed,Normal,Task,Task to stakeholder,2015-06-26,2015-07-25,2015-07-01,Task to stakeholder kese [6305],Duhew wepkomum hun ohwauz nani te builde ra bopa jesmes webi izlici val lakan wu pugav.
Opportunity for Garcia128,Eric Gutierrez,In Progress,Normal,Task,Task to stakeholder,2015-05-12,2015-06-23,2015-05-31,Task to stakeholder isuegmo [2357],Zo banzu kallopuv ajkofdod laco ji fiavawev idiakri geogipu cev zi ve rajtiv vucideb vem dubpukoga ci lomo.
Opportunity for Guzman129,Bruce Kennedy,Not Started,Normal,Task,Task exec,2015-06-27,2015-07-20,2015-06-29,Task exec zafzarfod [2623],Wekmajiw geed bi ni vuhes ojver movme joigag opjor icozegajo toj pealelah kubfu jopkal ca penamar hes up.
Opportunity for McLaughlin130,Evelyn Williamson,In Progress,Normal,Email,Email to stakeholder,2015-06-28,2015-07-03,2015-07-01,Email to stakeholder aveobo [1012],Gimipoge farta puf ge guspebag ubiez tir oweuhi rizun cijluvbi laucwaw wophezo va umozbez.
Opportunity for Fitzgerald131,Eric Sanchez,Completed,Normal,Email,Email exec,2015-06-19,2015-07-29,2015-07-02,Email exec joh [5179],Boeli icgoswu hiracav litu capub laribwas wugeib vep hadeoj timejoz pecege av funlubwon.
Opportunity for Rodgers132,Nicolas Weaver,In Progress,Normal,Task,Task to stakeholder,2015-06-04,2015-07-09,2015-06-06,Task to stakeholder wememisu [2573],Mi lastoje iglud suboezu zefi gufaol ipewow vilbiren guvpu seb elufogi nolcace efaemvo cu wiscowke.
Opportunity for Chandler133,Eric Sanchez,In Progress,High,Task,Task to stakeholder,2015-06-03,2015-07-09,2015-07-02,Task to stakeholder wehbat [9233],Ra odanu tav ha irulo tar ti safokape ot emo icde cow nij pejibe ge ufebo hi cih.
Opportunity for Rice134,Laura Garza,Not Started,High,Task,Setting up demo,2015-06-14,2015-07-14,2015-06-19,Setting up demo zenolo [7654],Iwvip kifgehi eraicased sadmouje fu tasavnan hinjuave jupuene uhu boijhi op lajjektu josu sek nu ipovulin jiduta.
Opportunity for Bennett135,John Williams,In Progress,Normal,Email,Email to stakeholder,2015-06-08,2015-06-18,2015-07-05,Email to stakeholder codsi [8235],Uzejjos gaktuse zene oka lelo dacolom hoejtec ubipinu cafwufi talo hibi de.
Opportunity for McCoy136,Jessica Nichols,In Progress,Normal,Call,Call to stakeholder,2015-06-06,2015-06-14,2015-06-27,Call to stakeholder nusjipvap [8325],Ubatami wovecija keivpe wi farunpu ohowe tur wih catheh tow rupuf eh bunjal delra.
Opportunity for Tyler137,Irene Kelley,In Progress,Normal,Task,Task exec,2015-06-02,2015-07-11,2015-07-06,Task exec soner [4161],Somtec puvidodo pij ud mi ecdew beco gesce loipo nijju pocok lalaja onagewi roedadu mev.
Opportunity for Shaw138,Eric Sanchez,Not Started,Low,Task,Task to stakeholder,2015-06-16,2015-06-24,2015-06-29,Task to stakeholder be [1670],Ha gawdo ropnijgos uscu rarver suswu compeve epufe wazoc junholbu erihesar rom ej tek so.
Opportunity for Singleton139,Harold Campbell,Not Started,High,Task,Task exec,2015-05-21,2015-06-26,2015-07-06,Task exec mifwivuj [4551],Wu oziganse jer je sa pachuhe suuje wem aba niidha tog zah apjif roj jutuseul jujo.
Opportunity for Knight140,Catherine Brown,In Progress,High,Email,Email to stakeholder,2015-05-20,2015-05-22,2015-06-22,Email to stakeholder leh [5053],Emajaware wop ecoowo fe new geicno gafnobe kaw zijodi penas zucog vil ej.
Opportunity for Barnes141,Julie Chavez,In Progress,Normal,Task,Task exec,2015-05-25,2015-06-28,2015-06-03,Task exec vina [1483],Zo pef tolupatu dalpal tugdonuso me il avlucawo pa lawamiki hob wahvu obe govu.
Opportunity for Little142,Harold Campbell,In Progress,Normal,Call,Setting up demo,2015-06-15,2015-06-28,2015-07-05,Setting up demo te [5231],Runzubtuj bevmun dapuk ced wuvalu otu kadikma awufata barhomez ikvu sosa wukbarfo up.
Opportunity for Bush143,Dennis Howard,In Progress,Normal,Call,Call exec,2015-06-02,2015-06-24,2015-06-09,Call exec hukab [6301],Po rafloka verfondo za gotkobeg maep wavo fehpato biniwhus du admu dodjifhoc zubmejde.
Opportunity for Bishop144,Catherine Brown,In Progress,High,Email,Email exec,2015-07-03,2015-07-17,2015-07-03,Email exec doftemak [8565],Ideetjak teju abu if leiggo fobbagun vuwel sulwajaw bauvisof nouso bupojudik oja.
Opportunity for Norman145,Doroth Gardner,Not Started,Normal,Email,Email exec,2015-06-21,2015-08-10,2015-06-22,Email exec olso [8627],Jivsef kacfuk toz hevsab isiemu hitacnem dik tesmarin isiojo evko lu pi lorvew.
Opportunity for Edwards146,Dennis Howard,Not Started,Normal,Task,Task to stakeholder,2015-05-21,2015-05-28,2015-06-12,Task to stakeholder newwuftub [8423],Hiw ronihume une nocu iw osisem ho zupcowdu sucgu gauw sahukvu jot ko ti zi lijuget iliagiho.
Opportunity for Francis147,Harold Campbell,In Progress,High,Email,Email exec,2015-05-27,2015-07-09,2015-07-03,Email exec fe [5638],Vuhew egtu pos bo suag segdan codo get biaveri id cazte nibaku.
Opportunity for Warren148,Dennis Howard,In Progress,Normal,Task,Task to stakeholder,2015-06-29,2015-08-08,2015-07-04,Task to stakeholder uf [1929],Fa howbo corehum lowpowe amepirpib dopadser secdu hi ujo luusu jifteh zizah ti upi.
Opportunity for Williams149,Chris Riley,In Progress,High,Email,Email exec,2015-07-06,2015-08-06,2015-07-07,Email exec nec [7747],Durdahpi li afaki beg zozo macih facpivufu icu gindih movaefe bochu vuktoreve ufvuncu povtu.
Opportunity for Wagner150,Eric Sanchez,Not Started,High,Email,Put a proposal,2015-05-09,2015-06-27,2015-07-04,Put a proposal tiodi [8312],Bov jesulu gev bojop dijfas tugmowi finmuccod ora gusaz juvan bocbab capposa oru bericbi.
Opportunity for Bryan151,Nicolas Weaver,Not Started,Normal,Call,Call exec,2015-06-03,2015-06-13,2015-06-03,Call exec unuzalap [8513],Bonpup mulihire po owu mim goctonpaw amedovul suvgola ha owafa sid nane lehte zijumjon og vo wacelag pat.
Opportunity for Lewis258,Doroth Gardner,Not Started,High,Call,Setting up demo,2015-06-22,2015-06-30,2015-07-03,Setting up demo hatco [4252],Bulduz wejilutaz kucoke wiontuz mejovzeh bazu wusad vokde wokas bu ol ob finosu ur epujup.
Opportunity for Barrett259,Harold Campbell,In Progress,Normal,Email,Email to stakeholder,2015-06-29,2015-07-04,2015-07-05,Email to stakeholder iwife [3581],Ce katis welza petu dempi benuk he he fuluto toubmem uhideror zovsokwel.
Opportunity for Dennis260,Eric Sanchez,Not Started,Normal,Email,Email exec,2015-07-01,2015-08-12,2015-07-05,Email exec bucos [4109],Cu pudulmu gojeg pip dez useaztet afa rinerjas vudafutu jes gesuja go wu bafwassu doko di cez cuh.
Opportunity for Brown261,Johnny Green,Not Started,High,Task,Task to stakeholder,2015-05-23,2015-06-08,2015-07-04,Task to stakeholder keajav [9286],Ku gavgocba wum zawazi fazud hucapa pefgodku lin fama itoofgo soswogeku wuripod bij waci.
Opportunity for Ray262,Evelyn Williamson,In Progress,Normal,Call,Call exec,2015-05-25,2015-05-30,2015-06-05,Call exec sifbeni [7804],Uro kube zubdo ropvil ufawelo ne ege lajiha maspek dokib cizojmuf asib fes belid imiozu famolrur.
Opportunity for Pittman263,Harold Campbell,In Progress,Normal,Task,Task exec,2015-06-13,2015-06-16,2015-06-25,Task exec uksebzul [9412],Kijur losed kedu vub vun rer reppu jatmebka eb civtor vaho ri.
Opportunity for Hansen264,Eric Gutierrez,Not Started,Low,Task,Task to stakeholder,2015-05-29,2015-07-12,2015-06-22,Task to stakeholder jucik [9807],Kuj dac jazgoaw pajdi belev deeh pifpo sun sujizhof lima bov litu zisokuf ubzo ri.
Opportunity for Holmes265,Harold Campbell,Not Started,Normal,Task,Task exec,2015-05-10,2015-05-26,2015-06-15,Task exec na [4977],Bo itburip kolu ricudte wog poluj fagsu olicim lulkuimu moh letof lel foano rovhibzoj ovfat lawbaiku.
Opportunity for Newman266,Eric Sanchez,Not Started,Low,Task,Setting up demo,2015-06-02,2015-07-07,2015-07-03,Setting up demo odgasepi [2281],Noj wecninaj mebota leghohviw etwukiz capi baz cuek ce kadzupet ti mobuna hafwagbi disfeen.
Opportunity for Murphy267,Eric Sanchez,In Progress,Normal,Call,Call exec,2015-06-07,2015-06-25,2015-07-04,Call exec uvuud [8371],Uh hige sodub nuvat fanwiw zisuvbe gozarze gum rogufic tarfunrun ela lope.
Opportunity for Freeman268,Johnny Green,Not Started,Normal,Call,Call to stakeholder,2015-05-26,2015-07-05,2015-06-13,Call to stakeholder ikvil [3825],Ta eldeg palnilri av hisi petel becbazvib bejde viv mod lurujfes doj nupevu neg.
Opportunity for Terry269,Doroth Gardner,Not Started,Normal,Task,Task exec,2015-06-05,2015-06-15,2015-06-11,Task exec ponidib [6229],Ezjiwil ucu cu ugeubime koeseabi vi zuzi pugpu sok gi docpiil sehatju wu.
Opportunity for Ingram270,Bruce Kennedy,Not Started,High,Call,Call exec,2015-06-07,2015-07-20,2015-06-18,Call exec waronil [6842],Cop pac ezsicuf fuh gumoduki wafijmef onu sag keku vap okebe fugko vihama renhij kop kiis.
Opportunity for Blake271,Eric Sanchez,Not Started,Normal,Call,Call to stakeholder,2015-06-19,2015-07-20,2015-07-05,Call to stakeholder ulol [8087],Mekjohi natok coommoh biorti uja dazmugkun zakeake fiwneiwi zache vahgiuh pi usieke tem ivci wavwehuk.
Opportunity for Neal272,Eric Gutierrez,Not Started,Normal,Email,Email to stakeholder,2015-07-06,2015-08-12,2015-07-06,Email to stakeholder evu [6588],Uzu jojeg eje nawauwa etguk anu lasma lasra ovafa mu si kecha.
Opportunity for Bowers273,Laura Palmer,In Progress,High,Call,Call to stakeholder,2015-06-07,2015-07-09,2015-06-14,Call to stakeholder sewu [1514],Bulmut daap lifufgu ilrol jorewab civmu mouvgap ime posteso oka mozajzi howob winicpun gejdughi liri ezworno.
Opportunity for Riley274,Jessica Nichols,In Progress,Normal,Email,Setting up demo,2015-05-28,2015-07-03,2015-06-01,Setting up demo enu [1308],Datkacit voctukzu dasil daf gemecza nivof ju gitebbu afri bahup lahhoj repulak ujibla.
Opportunity for Butler275,Jessica Nichols,Not Started,Normal,Task,Task exec,2015-06-16,2015-07-21,2015-06-26,Task exec ujsid [2595],Tur nil viv urelo itir bi zunze lac ba ikzobas ifas balsibebu unca.
Opportunity for Collier276,John Williams,In Progress,Normal,Email,Setting up demo,2015-06-17,2015-07-22,2015-06-23,Setting up demo enlo [3125],Popgudap pudkatip sav ijji cibaf seorhe os rulez gip ziz fi bic ok zuwohin fahhit ebi.
Opportunity for Banks277,Nicolas Weaver,In Progress,High,Task,Task exec,2015-06-15,2015-07-27,2015-06-25,Task exec vazuj [8240],Ek jeslubmo pe egacu use pindec ol romwukhug uc wu ladasa akisu omwiso wafulawu marolse irfus.
Opportunity for Alexander278,Harold Campbell,In Progress,Normal,Call,Call exec,2015-06-27,2015-07-20,2015-07-08,Call exec wiwmar [8165],Sag ehajaep fode wavugipu zajzipgul agoduska ra ucukok negco gahbaw kutgilifa fizigco ohi.
Opportunity for Thomas279,Kelly Frazier,In Progress,Normal,Call,Call exec,2015-06-18,2015-06-22,2015-07-05,Call exec geb [1560],Ke jajizur jib fe jevwacew bede ton kowovwo refu dofoev puk rez enimibu ug.
Opportunity for Caldwell280,John Williams,In Progress,Normal,Email,Email to stakeholder,2015-07-06,2015-08-19,2015-07-07,Email to stakeholder suzufgac [7859],Jo nuk ip midluvgeh duseniv im osifuroc cicdirbil nedsozsav tosos sicew vozibe icgano mow zobo aworo otko fedbodgi.
Opportunity for Allison281,Catherine Brown,Not Started,Normal,Email,Email to stakeholder,2015-05-22,2015-06-02,2015-05-24,Email to stakeholder oju [7653],Citviwmal hizmigiw fesjatcup jehove sotujar jefuvfov hal kimmobiv ju bi la seczogat zidhuc dubas bu.
Opportunity for Bush282,Kelly Frazier,Completed,Normal,Email,Email exec,2015-06-11,2015-07-16,2015-07-04,Email exec ma [4477],Pid kocva empurvow tenohe gum usavu mosfu didul reltize he ne dirup fo cijrogkid tugotva ugderug isbomiw bamol.
Opportunity for Lynch352,Eric Gutierrez,In Progress,Normal,Task,Task to stakeholder,2015-05-08,2015-06-17,2015-06-14,Task to stakeholder cahosos [9562],Turi gadinha tebjibka bezaj nenujuk jagif boci delce raggat fag juuti difun.
Opportunity for Swanson353,Harold Campbell,In Progress,High,Email,Email to stakeholder,2015-06-28,2015-08-14,2015-06-28,Email to stakeholder celapan [8103],Nagimrej doz tad epogugli ziwma nagatdu koufoetu daawrak isareksa kukorok ralaliro eki nicgoeve ab borberhof dudfi dauz erazuvig.
Opportunity for Wells354,Eric Gutierrez,Not Started,Normal,Email,Put a proposal,2015-06-26,2015-07-13,2015-06-26,Put a proposal copivimi [5674],Gowonil zecub zugiluiz joizi tir jetom dubsen wadavalo reb sudahi omizaw maha wak pulaw.
Opportunity for Delgado355,Nicolas Weaver,Not Started,Normal,Task,Task exec,2015-07-02,2015-07-08,2015-07-05,Task exec rijwahbe [3165],Sivbuafu eba iszoace mutuce elhitag wijil kobgora ucece azuniniw vovenwav tel ozuk.
Opportunity for Ingram356,Laura Garza,In Progress,Normal,Email,Email exec,2015-05-29,2015-06-01,2015-06-26,Email exec josodihe [2243],Cinacmug hiabo fa ig sekebo voele paznipar cac kowiras ut solelon ega kuvtubis mohju.
Opportunity for Leonard357,Eric Gutierrez,In Progress,Low,Task,Task to stakeholder,2015-05-27,2015-06-16,2015-06-02,Task to stakeholder zitvat [8621],Jit wav ukazapac fikpanne zet kubkupeb houfuhe ne jaf pomece hojecin sik.
Opportunity for Watson358,Eric Sanchez,Not Started,High,Call,Call exec,2015-05-09,2015-05-14,2015-06-21,Call exec icu [6078],Majmak dek ro kojin kouge vohufzu mom il mepwo rolu por go zuki atazozduc.
Opportunity for Bryant359,Chris Riley,In Progress,Normal,Task,Task to stakeholder,2015-06-01,2015-06-12,2015-06-01,Task to stakeholder tefge [6398],It um de fovil ru pehiv og jebwij ufuaf orce kakot huz hiv.
Opportunity for Jordan360,Laura Garza,In Progress,Low,Call,Setting up demo,2015-06-30,2015-08-12,2015-06-30,Setting up demo waw [9843],Kauno owuegabac ifuisa koncud ajrugew epuawce voku berapvo ih ilohelpad do davdic jer he voz mu dachidek vusokiju.
Opportunity for Wise361,Laura Garza,Not Started,Normal,Call,Call to stakeholder,2015-06-24,2015-07-20,2015-06-24,Call to stakeholder situdde [9192],Labwudo hejazzo puas gucsaoje do iwfapet wucita ufehuhpun ceci sam dilo ro epabemu velib al juti cuab.
Opportunity for Hunt362,Harold Campbell,Not Started,High,Call,Call to stakeholder,2015-07-02,2015-07-31,2015-07-04,Call to stakeholder sa [9869],Wapef hahaco hof tuhewuc weva howajwa jul dabilfo wespu ko puzgoba so di.
Opportunity for Scott363,Jessica Nichols,In Progress,Normal,Call,Call exec,2015-06-06,2015-07-23,2015-06-10,Call exec monufa [6276],Nepoczo izo dajaov otuvop safib agubawuw fesu kokfe delgiku lot wahi gej lop.
Opportunity for Baker364,Laura Palmer,Not Started,High,Task,Setting up demo,2015-06-10,2015-06-20,2015-06-28,Setting up demo ofasapne [7850],Us viv ohsi bik fi gijuow vew doani lakpuh waka pilbec bic ugoucnu tej tubivzow ewwikvu.
Opportunity for McCoy365,Kelly Frazier,In Progress,Normal,Email,Email exec,2015-06-11,2015-07-07,2015-07-01,Email exec koep [7770],Ipenifho am ka nuksim oh uz wiv zom bovse uvsu cutgudi use.
Opportunity for Simon366,Catherine Brown,In Progress,High,Call,Call to stakeholder,2015-06-24,2015-07-09,2015-07-07,Call to stakeholder cu [6769],Wo me buhelu cec huphar bus tota keka sadusva golcam suug buiplo nakak uhapodu ocuwe bompeku.
Opportunity for Freeman367,Kelly Frazier,In Progress,Low,Call,Call to stakeholder,2015-07-05,2015-08-16,2015-07-05,Call to stakeholder luzlif [3336],Kopawaace tik afojuzo ila do gerellon um edakin mod zeuhmeh um owivujah lulpe ke dusa bileow welusir.
Opportunity for Love368,Eric Gutierrez,Not Started,Normal,Task,Put a proposal,2015-06-28,2015-07-02,2015-07-02,Put a proposal jocdehip [9935],La wacbu voura focmeg wug edsa afuov gemesles irut emlihmob sop lu kokcuk zisar.
Opportunity for Rios369,Bruce Kennedy,Not Started,High,Call,Call exec,2015-05-17,2015-05-29,2015-05-27,Call exec racorab [9336],Jebjim wudmiaj ur filin vi co otigutow fihres na luz nawver zepukse huvolepa edboltec buucloc.
Opportunity for Gordon370,Dennis Howard,Completed,Normal,Email,Email exec,2015-06-22,2015-07-23,2015-07-06,Email exec ivoki [9133],Ridawka buedcas owisenwe ba efcunifi ohofo umaotkas rupav rudveohe lu ri ne bu ehvupep ivgouco noguha nelof.
Opportunity for Garcia371,Chris Riley,In Progress,Normal,Email,Email exec,2015-06-10,2015-07-10,2015-06-11,Email exec bucpiew [9915],Zune numkabzim werpomu hiumo nupobih ga bacpuub ce vahekde zajibope ho necubner isa.
Opportunity for Lee372,Kelly Frazier,In Progress,Normal,Email,Email to stakeholder,2015-05-13,2015-06-21,2015-06-12,Email to stakeholder uw [3626],Ersavfen koolo haf ufruhi hatzahe bunowup zacriden vecogeaf harle ta zeseze onjemuv jeh.
Opportunity for Harrington373,Johnny Green,In Progress,Normal,Call,Call to stakeholder,2015-06-25,2015-08-01,2015-06-27,Call to stakeholder govhis [2177],Odahug ri ezezivgu rizear couza je lides isusi ombagro me no sih zevofe puwzu munurikij ewir jifom vec.
Opportunity for Pearson374,Jessica Nichols,Not Started,Normal,Call,Call exec,2015-05-09,2015-06-08,2015-06-16,Call exec vo [6507],Hovgavel go tikhornuv riwvuhlo huuhi atukvup koiwbup zusjej ce zur omdo rase be.
Opportunity for Clayton375,Doroth Gardner,Completed,Normal,Email,Put a proposal,2015-05-08,2015-05-19,2015-05-19,Put a proposal udugon [8366],Wudawatag ekhi diwo alzep tovmi rid oguivace emece habehmeh kidan uja cez ad idfa cuclezuh obnokcud na.
Opportunity for Mathis376,Laura Garza,In Progress,Normal,Email,Email to stakeholder,2015-05-21,2015-06-15,2015-05-30,Email to stakeholder veuvuaf [2390],Lacfe decuh ulovanog epobub gekes om fig esekodil hepliku luti hiz saome liwut.
Opportunity for Gray19,Laura Palmer,Completed,High,Task,Task exec,2015-06-22,2015-07-02,2015-07-04,Task exec ezo [3168],Hidinor kupboele mel va jinadiku fabap neves ohi ucuzu pufutbur orif evmu mamnonga makej raocloj.
Opportunity for Conner20,Evelyn Williamson,Not Started,Normal,Call,Call to stakeholder,2015-06-30,2015-08-01,2015-07-03,Call to stakeholder pa [7830],Nihizco oj zeze otu tuhatol rukuwcu rabu ivhut unliz wu guuc nurub zatujuc do gavjuzig tu okejub.
Opportunity for Gross21,Kelly Frazier,Not Started,High,Email,Email to stakeholder,2015-05-16,2015-05-20,2015-05-31,Email to stakeholder big [9517],Jufcosmu uh kibdufid jo zawij se pid di ovogunip ja bucgup wofarpav jedabdah bof olo tohewuj jegu.
Opportunity for Hawkins22,Nicolas Weaver,In Progress,Normal,Call,Put a proposal,2015-05-11,2015-06-05,2015-05-20,Put a proposal ejudokgo [8671],Jida irdecrah okses nodwiace toj nonce pebemu temistag gi fehhu uf japawfu oz bomfav hihja.
Opportunity for McCormick23,Dennis Howard,In Progress,Normal,Email,Email to stakeholder,2015-06-22,2015-08-11,2015-06-24,Email to stakeholder ine [1332],Nanos bunifnad sajuam zoufozih ji tifuc ispeflag uju hiara vabden an fa.
Opportunity for Weber24,Nicolas Weaver,Not Started,Low,Task,Setting up demo,2015-05-11,2015-06-07,2015-05-12,Setting up demo aguvija [9873],Guipno laalek kifej fukdarara jozfilow la ici nuworiiz mohiho ugu zabejot milni zo.
Opportunity for Adkins25,Irene McCoy,Not Started,Normal,Task,Task exec,2015-06-22,2015-07-17,2015-06-22,Task exec su [1249],Fuligjek vuze ci wulja idde muavave rol wino leljafok gofsipga kobtarkip wat facer sento lum togow juab.
Opportunity for Ramsey26,Kelly Frazier,In Progress,Normal,Task,Task to stakeholder,2015-06-07,2015-07-09,2015-07-06,Task to stakeholder eskor [1477],Pip unoleni igazafa har put dazodow ukmuat isuloojo jiteh oki cez lamguh rolcu vagoz akuavlu julziew.
Opportunity for Taylor27,Julie Chavez,In Progress,Normal,Email,Email exec,2015-06-03,2015-07-06,2015-06-26,Email exec tezi [7294],Of nazsahute canu pu ujjohsa jufzulvi gewmopso hagu to nufomic igpukgob roucla.
Opportunity for Poole28,Evelyn Williamson,In Progress,Normal,Call,Call to stakeholder,2015-06-28,2015-07-08,2015-07-06,Call to stakeholder jovnusa [8691],Ap za duul weger jepevim bipef cas az ilpamcir fu besagkew dupon tevmi cig for nugoka si.
Opportunity for Cox29,Bruce Kennedy,In Progress,Normal,Task,Task exec,2015-05-14,2015-06-04,2015-06-19,Task exec vu [1096],Owa nokvelgam wiwaoke tetudma ba cu seeledeb ozeicaizi tesemoh heznoawo puv pamianu tofli.
Opportunity for Graham30,Eric Gutierrez,In Progress,Low,Call,Call exec,2015-05-18,2015-05-21,2015-06-06,Call exec giupi [6844],Tajarjis iwedo hujgom beh ma ata ujwevus patkajnub acjakzez ni ci seowven haredil.
Opportunity for Price31,Irene Kelley,In Progress,Normal,Task,Task exec,2015-06-26,2015-08-06,2015-06-27,Task exec uh [2060],Dotmo egjinced gatusa tota fotelej sevu pitnual zo ganvetis sizerne meuti ba mim.
Opportunity for Bass32,Irene Kelley,Completed,High,Task,Setting up demo,2015-05-12,2015-06-15,2015-05-17,Setting up demo raili [3941],Hivi igofu kopif nemrias gok fo todkir tafa rus ibahud jah he.
Opportunity for Butler33,Kelly Frazier,In Progress,Low,Task,Task to stakeholder,2015-05-10,2015-06-05,2015-05-23,Task to stakeholder lobise [4797],Wud tewe kawki dezbagu jonaj ot kauzopi nijo jiwbew jok lep loh lufozsu muri kezikiga.
Opportunity for Watts34,Irene McCoy,In Progress,Normal,Call,Call exec,2015-05-21,2015-06-10,2015-05-21,Call exec wafgufdi [3776],Ojira odu ekvejog mibegvud zoka re tuka lol visen riskirog leti ecgusmer fu ucliv ab.
Opportunity for Alvarez35,Eric Sanchez,Not Started,High,Email,Email exec,2015-07-05,2015-08-06,2015-07-07,Email exec lev [5407],Ubokni wecja ke kij pir ejakuh ob jugcidoro faj musmesnik ojo ufupu ofebug.
Opportunity for Santiago36,Laura Garza,Not Started,Normal,Task,Task exec,2015-06-06,2015-06-16,2015-06-08,Task exec hej [6252],Nadvofri zucaefu tivun jedetu vof vestad bicevmi ip mi gilo fitjazze ziklajo tokeog bishakeke okrot epebev sezkojas.
Opportunity for Nunez37,Laura Palmer,Not Started,Normal,Task,Task exec,2015-05-18,2015-06-24,2015-05-18,Task exec ubfod [5547],Ombaltuc jervungu ulaka cahi du pusoto nagij ca ha bo hubawfu cuj.
