Account.Name,Amount,CloseDate,LeadSource,Name,Owner.Name,StageName,Type,CreatedDate,ForecastCategory,Opportunity_Source__c
Copeland459 Inc,754800,2012-08-02,Public Relations,Opportunity for Lynch352,Chris Riley,Closed Lost,New Business / Add-on,2011-12-24,Omitted,Alliances
Guzman239 Inc,1258880,2014-02-03,Employee Referral,Opportunity for Swanson353,Harold Campbell,Closed Won,Existing Business,2013-08-27,Closed,AE
Holt901 Inc,491500,2013-11-26,Web,Opportunity for Wells354,Chris Riley,Closed Won,New Business,2013-07-11,Closed,Marketing
Figueroa68 Inc,1318960,2015-04-19,Partner,Opportunity for Delgado355,Chris Riley,Closed Won,New Business,2014-12-31,Closed,AE
Stone414 Inc,1663250,2014-08-02,Trade Show,Opportunity for Ingram356,Kelly Frazier,Closed Lost,New Business,2013-12-09,Omitted,Alliances
Gomez227 Inc,817975,2012-12-30,Web,Opportunity for Leonard357,Harold Campbell,Closed Won,Existing Business,2012-08-17,Closed,BDR
Banks163 Inc,117480,2014-12-06,Seminar - Internal,Opportunity for Watson358,Harold Campbell,Closed Won,New Business,2014-06-14,Closed,BDR
Jackson589 Inc,3039400,2015-02-13,Advertisement,Opportunity for Bryant359,John Williams,Closed Won,New Business / Add-on,2014-12-27,Closed,AE
Thomas148 Inc,832000,2012-06-11,Web,Opportunity for Jordan360,Dennis Howard,Closed Lost,New Business,2011-12-31,Omitted,BDR
Scott708 Inc,1595250,2015-11-30,Word of mouth,Opportunity for Wise361,Bruce Kennedy,Needs Analysis,New Business,2015-04-06,Pipeline,Marketing
Hart828 Inc,1148850,2015-05-20,Employee Referral,Opportunity for Hunt362,Harold Campbell,Closed Won,New Business,2014-12-31,Closed,Marketing
Carlson744 Inc,788800,2015-08-17,Seminar - Internal,Opportunity for Scott363,Irene McCoy,Perception Analysis,New Business / Add-on,2015-05-31,BestCase,BDR
Nelson829 Inc,18080,2012-07-15,Partner,Opportunity for Baker364,Nicolas Weaver,Closed Won,New Business / Add-on,2011-11-30,Closed,AE
Munoz724 Inc,88200,2014-07-12,Employee Referral,Opportunity for McCoy365,Irene McCoy,Closed Won,New Business,2014-01-17,Closed,BDR
Joseph775 Inc,75600,2012-12-08,Word of mouth,Opportunity for Simon366,Harold Campbell,Closed Won,Existing Business,2012-08-01,Closed,Marketing
Flowers822 Inc,2111425,2013-09-04,Word of mouth,Opportunity for Freeman367,Laura Palmer,Closed Won,New Business / Add-on,2013-03-07,Closed,BDR
Ross364 Inc,390885,2015-03-04,Partner,Opportunity for Love368,Evelyn Williamson,Closed Won,New Business / Add-on,2014-09-18,Closed,AE
King177 Inc,112725,2014-08-23,Web,Opportunity for Rios369,Irene McCoy,Closed Lost,New Business / Add-on,2014-03-08,Omitted,AE
Padilla472 Inc,179225,2015-05-10,Word of mouth,Opportunity for Gordon370,Irene Kelley,Closed Won,New Business,2014-12-22,Closed,Marketing
Schneider841 Inc,78624,2012-07-26,Employee Referral,Opportunity for Garcia371,Chris Riley,Closed Won,New Business,2012-01-07,Closed,AE
Medina510 Inc,1807000,2013-10-26,Advertisement,Opportunity for Lee372,Irene Kelley,Closed Won,New Business,2013-03-27,Closed,Marketing
West706 Inc,22240,2015-03-19,Employee Referral,Opportunity for Harrington373,Johnny Green,Closed Won,New Business,2015-01-24,Closed,Alliances
McGuire26 Inc,62400,2015-05-03,Partner,Opportunity for Pearson374,Chris Riley,Closed Won,New Business,2015-02-09,Closed,AE
Perkins198 Inc,657600,2015-02-27,Partner,Opportunity for Clayton375,John Williams,Closed Won,New Business,2014-08-23,Closed,AE
Banks379 Inc,637520,2014-11-15,Advertisement,Opportunity for Mathis376,Doroth Gardner,Closed Won,New Business,2014-06-15,Closed,BDR
Barnett543 Inc,690210,2014-07-18,Public Relations,Opportunity for Gray19,Harold Campbell,Closed Won,New Business,2014-02-26,Closed,Marketing
Griffin920 Inc,912140,2013-12-31,Public Relations,Opportunity for Conner20,Irene Kelley,Closed Lost,New Business,2013-07-21,Omitted,AE
Brock75 Inc,626610,2014-02-12,Trade Show,Opportunity for Gross21,Bruce Kennedy,Closed Won,New Business / Add-on,2013-08-07,Closed,Marketing
Duncan433 Inc,136464,2015-07-19,Advertisement,Opportunity for Hawkins22,Laura Garza,Prospecting,New Business,2015-04-22,Pipeline,Marketing
Lowe496 Inc,744440,2015-12-04,Trade Show,Opportunity for McCormick23,Bruce Kennedy,Negotiation/Review,New Business,2015-06-08,Forecast,Marketing
Bailey886 Inc,1178550,2013-01-07,Word of mouth,Opportunity for Weber24,Kelly Frazier,Closed Lost,New Business / Add-on,2012-09-07,Omitted,Marketing
James443 Inc,1931330,2014-01-29,Partner,Opportunity for Adkins25,Catherine Brown,Closed Won,New Business,2013-09-05,Closed,Marketing
Garza341 Inc,1007720,2014-03-09,Advertisement,Opportunity for Ramsey26,Evelyn Williamson,Closed Won,New Business / Add-on,2013-12-19,Closed,AE
Hansen264 Inc,262800,2013-12-01,Web,Opportunity for Taylor27,Nicolas Weaver,Closed Won,New Business,2013-10-15,Closed,AE
Stone555 Inc,250375,2012-11-04,Trade Show,Opportunity for Poole28,Kelly Frazier,Closed Won,Existing Business,2012-09-03,Closed,AE
Vega718 Inc,2345840,2015-04-16,Trade Show,Opportunity for Cox29,Laura Garza,Closed Won,Existing Business,2015-03-04,Closed,Alliances
Hogan989 Inc,2483600,2014-05-16,Seminar - Internal,Opportunity for Graham30,Doroth Gardner,Closed Won,New Business / Add-on,2014-03-03,Closed,AE
Lindsey899 Inc,2113800,2014-01-29,Word of mouth,Opportunity for Price31,Laura Garza,Closed Won,New Business,2013-11-03,Closed,Marketing
Tucker284 Inc,4010350,2014-11-12,Employee Referral,Opportunity for Bass32,Nicolas Weaver,Closed Won,New Business / Add-on,2014-04-24,Closed,BDR
Watts685 Inc,8577295,2015-11-25,Trade Show,Opportunity for Butler33,Doroth Gardner,Perception Analysis,New Business / Add-on,2015-05-18,BestCase,Marketing
Crawford536 Inc,2317750,2012-05-25,Seminar - Internal,Opportunity for Watts34,Laura Garza,Closed Won,New Business / Add-on,2011-11-11,Closed,Alliances
Wade723 Inc,266400,2015-06-02,Trade Show,Opportunity for Alvarez35,Evelyn Williamson,Closed Won,Existing Business,2015-02-10,Closed,AE
Harmon693 Inc,4525100,2013-02-14,Advertisement,Opportunity for Santiago36,John Williams,Closed Won,Existing Business,2012-07-24,Closed,AE
Smith558 Inc,809810,2015-06-16,Partner,Opportunity for Nunez37,Irene Kelley,Closed Lost,New Business / Add-on,2015-06-01,Omitted,Alliances
Bennett519 Inc,980500,2015-06-14,Partner,Opportunity for Wilkins38,Eric Sanchez,Closed Won,New Business / Add-on,2015-01-29,Closed,Marketing
Grant712 Inc,3727950,2013-03-29,Word of mouth,Opportunity for Reed39,Kelly Frazier,Closed Won,Existing Business,2013-01-25,Closed,AE
Leonard55 Inc,908100,2013-07-01,Word of mouth,Opportunity for Simon40,Dennis Howard,Closed Won,New Business,2013-05-22,Closed,AE
Gomez871 Inc,1149100,2014-03-04,Web,Opportunity for Rice41,Irene Kelley,Closed Won,New Business / Add-on,2013-07-17,Closed,Alliances
Shaw343 Inc,1089740,2013-07-21,Seminar - Internal,Opportunity for Adams42,Eric Sanchez,Closed Won,Existing Business,2013-02-08,Closed,BDR
Tucker401 Inc,96500,2013-11-28,Partner,Opportunity for Clayton43,Irene Kelley,Closed Won,New Business / Add-on,2013-11-10,Closed,Marketing
Rogers668 Inc,11883,2015-01-23,Web,Opportunity for Stevens152,Laura Palmer,Closed Lost,Existing Business,2014-08-15,Omitted,Marketing
Riley999 Inc,1017200,2014-04-18,Employee Referral,Opportunity for Schmidt153,Julie Chavez,Closed Won,New Business,2013-10-20,Closed,BDR
Stevenson954 Inc,77270,2015-02-11,Public Relations,Opportunity for Vega154,Laura Garza,Closed Lost,New Business,2015-01-04,Omitted,AE
Rodriguez768 Inc,475364,2013-09-02,Trade Show,Opportunity for Waters155,Dennis Howard,Closed Won,New Business,2013-02-17,Closed,Alliances
Rios384 Inc,857500,2015-09-03,Web,Opportunity for Moss156,Laura Palmer,Negotiation/Review,New Business / Add-on,2015-05-07,Forecast,Marketing
Brewer763 Inc,353136,2014-04-17,Employee Referral,Opportunity for Hunt157,Eric Gutierrez,Closed Won,New Business,2014-01-28,Closed,AE
Sanchez737 Inc,8850,2012-06-22,Employee Referral,Opportunity for Aguilar158,Dennis Howard,Closed Won,New Business,2012-01-31,Closed,Marketing
Thornton799 Inc,195640,2012-08-25,Seminar - Internal,Opportunity for Sandoval159,Dennis Howard,Closed Lost,Existing Business,2012-01-13,Omitted,Marketing
Rodgers461 Inc,96046,2013-05-30,Employee Referral,Opportunity for McGee160,Laura Palmer,Closed Won,New Business,2012-12-12,Closed,AE
Barnett543 Inc,567800,2014-06-24,Advertisement,Opportunity for Mendoza161,Kelly Frazier,Closed Won,Existing Business,2014-01-22,Closed,AE
Maldonado464 Inc,465500,2015-09-14,Advertisement,Opportunity for Todd162,Eric Sanchez,Prospecting,New Business / Add-on,2015-05-16,Pipeline,Marketing
Mendez595 Inc,1236050,2014-05-23,Advertisement,Opportunity for Washington163,Julie Chavez,Closed Won,Existing Business,2014-04-22,Closed,AE
Silva224 Inc,2505200,2014-07-14,Word of mouth,Opportunity for Snyder164,Chris Riley,Closed Won,New Business,2014-07-04,Closed,AE
Christensen892 Inc,1118700,2013-05-06,Trade Show,Opportunity for Barker165,Evelyn Williamson,Closed Won,Existing Business,2013-01-17,Closed,AE
Santiago946 Inc,2651590,2013-10-22,Word of mouth,Opportunity for Christensen166,Nicolas Weaver,Closed Won,Existing Business,2013-08-29,Closed,Marketing
Hoffman641 Inc,2479110,2014-01-15,Advertisement,Opportunity for Clark167,Harold Campbell,Closed Won,New Business / Add-on,2013-07-05,Closed,Marketing
Hoffman697 Inc,1389620,2013-03-16,Public Relations,Opportunity for Ford168,Julie Chavez,Closed Won,Existing Business,2013-02-20,Closed,AE
Lee615 Inc,336500,2013-11-24,Web,Opportunity for Hughes169,Laura Palmer,Closed Won,New Business,2013-10-01,Closed,AE
Gutierrez48 Inc,1660900,2013-10-02,Advertisement,Opportunity for Walker170,Eric Sanchez,Closed Lost,New Business,2013-06-27,Omitted,AE
Brewer934 Inc,874780,2014-09-30,Partner,Opportunity for Nichols171,Johnny Green,Closed Won,New Business,2014-03-05,Closed,AE
Grant741 Inc,62010,2013-04-18,Employee Referral,Opportunity for Craig172,Nicolas Weaver,Closed Won,New Business / Add-on,2012-10-16,Closed,Alliances
Warren653 Inc,667000,2014-05-25,Advertisement,Opportunity for Gordon173,Kelly Frazier,Closed Won,New Business,2014-04-26,Closed,AE
Adams335 Inc,466893,2014-11-12,Trade Show,Opportunity for Robinson174,Evelyn Williamson,Closed Won,New Business / Add-on,2014-04-25,Closed,BDR
Flores188 Inc,4357300,2015-01-09,Seminar - Internal,Opportunity for Cunningham175,Kelly Frazier,Closed Won,New Business / Add-on,2014-12-08,Closed,Marketing
McCarthy931 Inc,566500,2012-09-28,Employee Referral,Opportunity for Carpenter176,Harold Campbell,Closed Won,New Business,2012-04-04,Closed,Marketing
Allen182 Inc,4067300,2015-08-17,Web,Opportunity for Bush283,Chris Riley,Proposal/Price Quote,New Business,2015-02-13,BestCase,Alliances
Fitzgerald503 Inc,837200,2012-11-06,Partner,Opportunity for Soto284,Chris Riley,Closed Lost,New Business / Add-on,2012-09-11,Omitted,Marketing
Rivera385 Inc,1495000,2013-10-21,Web,Opportunity for Herrera285,Laura Garza,Closed Won,New Business / Add-on,2013-06-27,Closed,Marketing
Warner699 Inc,546600,2013-07-24,Trade Show,Opportunity for Bradley286,Eric Gutierrez,Closed Lost,Existing Business,2013-01-18,Omitted,BDR
Terry245 Inc,86400,2012-12-28,Seminar - Internal,Opportunity for Wise287,Eric Sanchez,Closed Won,New Business,2012-11-10,Closed,BDR
Graves33 Inc,1790440,2015-03-15,Employee Referral,Opportunity for Pearson288,Julie Chavez,Closed Won,New Business,2014-08-10,Closed,AE
Greer831 Inc,9901,2012-04-17,Partner,Opportunity for Bryan289,Eric Gutierrez,Closed Won,New Business / Add-on,2011-10-03,Closed,AE
Anderson638 Inc,1181750,2012-03-24,Partner,Opportunity for Boyd290,Laura Garza,Closed Won,New Business,2011-09-24,Closed,BDR
Graham11 Inc,1234840,2013-09-22,Advertisement,Opportunity for Briggs291,Irene Kelley,Closed Won,New Business / Add-on,2013-07-04,Closed,Marketing
Higgins494 Inc,408600,2012-12-19,Public Relations,Opportunity for Diaz292,Nicolas Weaver,Closed Won,New Business / Add-on,2012-06-21,Closed,AE
Stone555 Inc,3306425,2015-07-27,Web,Opportunity for Higgins293,Julie Chavez,Negotiation/Review,Existing Business,2015-03-03,Forecast,BDR
Stevenson947 Inc,134460,2012-12-13,Seminar - Internal,Opportunity for Rodriquez294,Julie Chavez,Closed Won,New Business,2012-05-22,Closed,AE
Moore669 Inc,277500,2013-08-05,Partner,Opportunity for Ryan295,Laura Garza,Closed Won,New Business,2013-02-26,Closed,AE
Soto36 Inc,236040,2014-10-13,Employee Referral,Opportunity for Armstrong296,Kelly Frazier,Closed Won,New Business,2014-07-21,Closed,BDR
Roy360 Inc,455993,2013-03-31,Web,Opportunity for Wilkerson297,Catherine Brown,Closed Lost,Existing Business,2013-03-19,Omitted,Marketing
Jefferson859 Inc,219000,2015-08-28,Employee Referral,Opportunity for Francis298,John Williams,Perception Analysis,New Business / Add-on,2015-05-28,BestCase,AE
Graves925 Inc,567000,2015-08-05,Employee Referral,Opportunity for McBride299,Johnny Green,Value Proposition,New Business,2015-01-17,Pipeline,AE
Stone533 Inc,2303500,2015-03-03,Public Relations,Opportunity for Miller300,Laura Palmer,Closed Won,New Business,2014-08-06,Closed,BDR
Grant741 Inc,58360,2012-12-25,Partner,Opportunity for Wright301,Irene Kelley,Closed Lost,Existing Business,2012-05-14,Omitted,BDR
Scott708 Inc,340785,2012-04-05,Word of mouth,Opportunity for Farmer302,Nicolas Weaver,Closed Won,New Business / Add-on,2011-12-21,Closed,AE
Thompson622 Inc,2086050,2015-08-03,Public Relations,Opportunity for Cross303,Bruce Kennedy,Perception Analysis,New Business,2015-03-18,BestCase,AE
Stevenson884 Inc,1098880,2014-07-08,Web,Opportunity for Pierce304,Johnny Green,Closed Lost,New Business / Add-on,2014-05-02,Omitted,AE
Bennett519 Inc,2291820,2013-05-26,Seminar - Internal,Opportunity for Burke305,Kelly Frazier,Closed Won,New Business / Add-on,2012-11-27,Closed,Marketing
Vaughn229 Inc,202700,2014-02-01,Partner,Opportunity for Hudson306,Julie Chavez,Closed Won,New Business,2013-11-22,Closed,BDR
Harris13 Inc,5839810,2015-07-18,Word of mouth,Opportunity for Figueroa377,Bruce Kennedy,Perception Analysis,New Business / Add-on,2015-04-23,BestCase,Marketing
Rodriguez768 Inc,446850,2014-09-10,Employee Referral,Opportunity for Collins378,Eric Gutierrez,Closed Won,New Business,2014-08-09,Closed,AE
Mitchell743 Inc,134100,2013-08-16,Web,Opportunity for Marsh379,Evelyn Williamson,Closed Won,New Business,2013-04-20,Closed,Marketing
Stokes80 Inc,2565480,2013-02-13,Employee Referral,Opportunity for Palmer380,Irene McCoy,Closed Lost,New Business / Add-on,2012-08-21,Omitted,AE
Morales516 Inc,98910,2014-05-30,Word of mouth,Opportunity for Reid381,Doroth Gardner,Closed Won,New Business,2014-04-09,Closed,AE
Sanchez737 Inc,134196,2013-06-18,Web,Opportunity for Powell382,Irene Kelley,Closed Won,New Business,2013-01-07,Closed,AE
George280 Inc,677600,2014-08-11,Trade Show,Opportunity for Burke383,Catherine Brown,Closed Won,New Business / Add-on,2014-05-11,Closed,Alliances
Webster197 Inc,428876,2014-09-10,Trade Show,Opportunity for Nash384,Doroth Gardner,Closed Won,New Business,2014-05-02,Closed,AE
Watts685 Inc,1300200,2013-03-12,Employee Referral,Opportunity for Logan385,Laura Palmer,Closed Won,New Business / Add-on,2013-02-15,Closed,Alliances
Medina787 Inc,150240,2015-06-02,Employee Referral,Opportunity for May386,Laura Garza,Closed Won,New Business,2015-01-13,Closed,Marketing
Phillips722 Inc,822800,2015-11-22,Word of mouth,Opportunity for Hart387,Laura Garza,Needs Analysis,New Business / Add-on,2015-05-28,Pipeline,Alliances
Guerrero584 Inc,70400,2013-07-01,Word of mouth,Opportunity for Neal388,Kelly Frazier,Closed Lost,New Business,2012-12-06,Omitted,AE
Haynes623 Inc,2043000,2013-09-04,Web,Opportunity for Lawrence389,Catherine Brown,Closed Won,Existing Business,2013-07-07,Closed,Marketing
Joseph988 Inc,259360,2013-07-16,Advertisement,Opportunity for Garrett390,Laura Palmer,Closed Won,New Business / Add-on,2013-05-06,Closed,AE
Arnold386 Inc,3840550,2012-08-23,Word of mouth,Opportunity for Wilkins391,Bruce Kennedy,Closed Lost,New Business / Add-on,2012-06-07,Omitted,AE
Ruiz102 Inc,1326750,2013-01-28,Seminar - Internal,Opportunity for Weber392,Bruce Kennedy,Closed Lost,New Business,2012-12-31,Omitted,AE
Reed65 Inc,372800,2014-01-19,Partner,Opportunity for Greene393,Julie Chavez,Closed Lost,New Business,2013-08-25,Omitted,Marketing
Morales809 Inc,1480470,2012-11-06,Trade Show,Opportunity for Ballard394,Dennis Howard,Closed Won,Existing Business,2012-06-08,Closed,Alliances
Green672 Inc,237840,2015-06-04,Partner,Opportunity for Perry395,Dennis Howard,Closed Won,New Business,2015-04-13,Closed,Alliances
Schneider843 Inc,634690,2013-05-17,Partner,Opportunity for Estrada396,Doroth Gardner,Closed Lost,New Business / Add-on,2013-04-27,Omitted,Alliances
